,fpr,tpr
362017,0.0035899481451934583,0.910958904109589
574291,0.007050528789659225,1.0
574371,0.0022026431718061676,0.9432624113475178
575097,0.006219903691813804,0.9614512471655329
575102,0.0,1.0
575116,0.007434197307615029,1.0
575124,0.0015996800639872025,0.9656862745098039
580586,0.011182439428453097,0.9864253393665159
580706,0.0005972526378658173,0.9473684210526315
580846,0.0011942675159235668,1.0
581617,0.002196485623003195,0.9582309582309583
582240,0.0014047762392133253,0.9801587301587301
582283,0.0047562425683709865,0.9513888888888888
582948,0.0010046212577858146,0.9631901840490797
583853,0.0031929754540011976,1.0
584493,0.006022925976296872,0.9325842696629213
584518,0.0,0.9957446808510638
584546,0.0,0.9107692307692308
585218,0.0030241935483870967,0.9923076923076923
585579,0.008750508750508751,0.9563492063492064
586069,0.004885675200312683,1.0
587075,0.059577989242863054,1.0
589899,0.0028095524784266506,0.9591836734693877
597892,0.00780127283925272,0.9946332737030411
598421,0.0031923383878691143,0.9863013698630136
600051,0.000969743987587277,0.9772079772079773
600056,0.0003968253968253968,1.0
602803,0.00040666937779585197,0.9980842911877394
603657,0.0,1.0
603719,0.0010008006405124099,1.0
603771,0.003003003003003003,0.9781818181818182
603843,0.0023995200959808036,0.987460815047022
604469,0.006484149855907781,0.9941383352872216
604470,0.0037437603993344427,0.9156193895870736
604655,0.020361990950226245,0.9215686274509803
604852,0.0003980099502487562,0.9565217391304348
611311,0.0013994402239104358,1.0
611327,0.0,0.9821428571428571
611386,0.00020004000800160032,0.9859154929577465
613097,0.011235955056179775,0.9060052219321149
613216,0.006665320137345991,0.9774096385542169
618014,0.00039984006397441024,0.9927536231884058
625478,0.0052440500201694235,0.9404761904761905
626025,0.002376237623762376,0.948
628759,0.0011926058437686344,0.9305555555555556
637887,1.0,
638428,0.0014036494886705434,0.9339080459770115
638985,0.001195219123505976,0.9744186046511628
644256,0.0,1.0
644298,0.0037735849056603774,0.9240506329113924
646024,0.00039603960396039607,0.9835294117647059
648948,0.002002803925495694,0.9766536964980544
649330,0.0,0.9512195121951219
650229,0.02241875771287536,1.0
653346,0.0012133468149646107,1.0
653349,0.0,0.9709302325581395
653856,1.0,
653857,0.0,0.9696969696969697
653902,0.0027994401119776045,0.9728260869565217
654466,0.009322198485142746,0.9817351598173516
657380,0.004865193594161768,1.0
657402,0.0,0.9888475836431226
657601,0.005396761942834299,0.9154929577464789
657983,0.019615692554043235,0.9381443298969072
661709,0.0012012012012012011,0.9166666666666666
661733,0.001408167370750352,0.9696969696969697
665896,0.0016028851933480265,1.0
666068,0.001600640256102441,0.9752066115702479
670148,0.00019755037534571315,0.9937733499377335
670155,0.0012004801920768306,0.9925093632958801
673525,0.00020132876988121604,0.9453125
674209,0.0,0.9891891891891892
674300,0.0,0.9919517102615694
678190,0.0012070006035003018,0.9963235294117647
678194,0.0008149959250203749,0.9274193548387096
680549,0.0,0.9970059880239521
684570,0.004661532225374949,1.0
685139,0.001799280287884846,0.9869451697127938
685462,0.0004,1.0
687821,0.008,1.0
690196,0.0009998000399920016,0.9137931034482759
690311,0.0044,1.0
691234,0.012226899178192023,0.965669014084507
691685,0.022182960345504515,0.991270611057226
693427,0.0055621771950735005,0.9872448979591837
695193,0.0001998800719568259,1.0
695546,0.00141643059490085,0.9944933920704846
695711,0.014046121593291404,0.9539568345323741
695743,0.0012028869286287089,0.9621212121212122
695763,0.0,1.0
700018,0.0,0.9969230769230769
700359,0.002037074760643716,0.9764216366158114
700409,0.01144118827780008,0.9682899207248018
701567,0.0007947546195112259,0.9567901234567902
702163,0.0003969829297340214,0.891156462585034
704236,0.0018226002430133657,0.9743589743589743
707120,0.0008022462896109105,0.9953271028037384
707131,0.002155594748187341,1.0
712785,0.014157818030397668,0.9214929214929215
712853,0.0008020854220974534,0.9815950920245399
716261,0.0017737485218762318,0.994535519125683
717931,0.0047553001783237564,0.8811881188118812
718466,0.004496578690127077,0.908695652173913
718542,0.014303228442991417,1.0
718587,0.0006010819475055099,0.9285714285714286
721530,0.004013646397752358,0.918918918918919
721839,0.007272727272727273,0.9685714285714285
726015,0.0014011208967173738,0.959731543624161
726457,0.0025455257489719993,0.9173553719008265
726596,0.0010034115994380895,0.9743589743589743
726827,0.002014098690835851,0.9960264900662251
729125,0.0015920398009950248,0.976
731121,0.00040016006402561027,0.9166666666666666
732092,0.0031783869686134287,0.9811320754716981
736823,0.00482439212659205,0.9647946353730092
738094,0.0006010819475055099,0.9420289855072463
739516,1.0,
739670,0.0004004004004004004,0.9869565217391304
739677,0.007352941176470588,1.0
739678,0.027015437392795882,0.9309494451294698
741327,0.005668016194331984,0.9307692307692308
741693,0.000998402555910543,0.9621451104100947
744619,0.002807862013638187,0.9628712871287128
745941,0.00020092425155716296,0.9914163090128756
746262,0.005189620758483034,0.9448275862068966
746321,0.0004005607850991388,1.0
746367,0.0436971405557793,1.0
750052,0.0025450274079874707,1.0
751685,0.0016051364365971107,1.0
751692,0.009135200974421437,0.9787234042553191
751964,0.003812199036918138,0.935672514619883
752457,0.05356808391084473,1.0
753353,0.0077288941736028535,0.9395973154362416
754321,0.0351493848857645,1.0
755059,0.004169148302561048,0.9517426273458445
757883,0.003225156218504334,0.9927797833935018
757940,0.017044273539804613,1.0
767998,0.0030290791599353797,0.9828326180257511
768973,0.0024014408645187113,0.9642857142857143
769904,0.004619401486242217,1.0
771400,0.00019932230416583617,0.99812382739212
771980,0.020226537216828478,1.0
773891,0.01155277070687292,0.955487336914812
773920,0.03783680489203134,1.0
775374,0.0008014425966740132,1.0
775698,0.0012024048096192384,0.9375
776895,0.0018039687312086591,0.9421487603305785
777146,0.03464203233256351,1.0
777210,0.0024096385542168677,0.996875
777213,0.023770824867939862,1.0
777836,0.014453125,1.0
778335,0.012407991587802314,0.9902173913043478
779952,0.0038038038038038036,0.946031746031746
781304,0.027500996412913512,0.9980713596914176
